"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"23","Maine","2-year","Public","41.6","20.9","14.2","43597","42759","208.45"
"23","Maine","2-year","Private not-for-profit","1.7","47.8","25.0","54015","42217","208.45"
"23","Maine","2-year","Private for-profit","50.1","23.1","26.3","27305","19798","208.45"
"24","Maryland","4-year","Public","59.1","21.9","20.5","71101","68617","275.88"
"24","Maryland","4-year","Private not-for-profit","75.3","22.8","22.6","166534","95725","275.88"
"24","Maryland","4-year","Private for-profit","72.2","22.0","19.0","24548","42645","275.88"
"24","Maryland","2-year","Public","33.7","15.9","14.2","73874","42759","275.88"
"24","Maryland","2-year","Private not-for-profit","","","25.0","","42217","275.88"
"24","Maryland","2-year","Private for-profit","","14.9","26.3","17103","19798","275.88"
"25","Massachusetts","4-year","Public","68.1","19.5","20.5","66968","68617","185.30"
"25","Massachusetts","4-year","Private not-for-profit","80.1","22.3","22.6","133802","95725","185.30"
"25","Massachusetts","4-year","Private for-profit","69.5","22.0","19.0","72140","42645","185.30"
"25","Massachusetts","2-year","Public","38.5","16.1","14.2","50604","42759","185.30"
"25","Massachusetts","2-year","Private not-for-profit","26.4","43.0","25.0","40366","42217","185.30"
"25","Massachusetts","2-year","Private for-profit","19.7","41.2","26.3","34672","19798","185.30"
"26","Michigan","4-year","Public","72.9","20.8","20.5","75879","68617","189.29"
"26","Michigan","4-year","Private not-for-profit","52.5","23.5","22.6","49929","95725","189.29"
"26","Michigan","4-year","Private for-profit","96.7","22.5","19.0","49446","42645","189.29"
"26","Michigan","2-year","Public","35.5","15.8","14.2","48660","42759","189.29"
"26","Michigan","2-year","Private not-for-profit","","","25.0","","42217","189.29"
"26","Michigan","2-year","Private for-profit","","","26.3","","19798","189.29"
"27","Minnesota","4-year","Public","56.9","19.8","20.5","84576","68617","260.06"
"27","Minnesota","4-year","Private not-for-profit","73.2","22.9","22.6","67635","95725","260.06"
"27","Minnesota","4-year","Private for-profit","48.2","20.5","19.0","61396","42645","260.06"
"27","Minnesota","2-year","Public","34.2","20.6","14.2","35949","42759","260.06"
"27","Minnesota","2-year","Private not-for-profit","74.3","7.2","25.0","193495","42217","260.06"
"27","Minnesota","2-year","Private for-profit","100.0","27.7","26.3","29196","19798","260.06"
"28","Mississippi","4-year","Public","68.2","19.1","20.5","61254","68617","342.99"
"28","Mississippi","4-year","Private not-for-profit","63.7","19.6","22.6","47581","95725","342.99"
"28","Mississippi","4-year","Private for-profit","","","19.0","","42645","342.99"
"28","Mississippi","2-year","Public","58.7","17.9","14.2","44959","42759","342.99"
"28","Mississippi","2-year","Private not-for-profit","","","25.0","","42217","342.99"
"28","Mississippi","2-year","Private for-profit","72.2","29.6","26.3","17360","19798","342.99"
"29","Missouri","4-year","Public","61.1","20.4","20.5","56720","68617","166.95"
