CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/31/1985,216300,MARIST COLLEGE & SEMINARY,MARIST COLLEGE & SEMINARY,,FRAMINGHAM,MA,01701-0000,
12/31/1986,490301,PHILADLEPHIA SCHOOL OF OFFICE TECHNOLOGIES,PHILADLEPHIA SCHOOL OF OFFICE TECHNOLOGIES,CHESTERBROOK VILLAGE CENTER,CHESTERBROOK,PA,19087,
12/31/1986,624700,SOUTH CHICAGO COMMUNITY HOSPITAL SCHOOL OF NURSE (CLOSED),SOUTH CHICAGO COMMUNITY HOSPITAL SCHOOL OF NURSE (CLOSED),2320 EAST 93RD STREET,CHICAGO,IL,60617,
12/31/1986,1161300,DRUID CITY HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY,DRUID CITY HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,
12/31/1986,1299300,DEACONESS HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,DEACONESS HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,620 NORTH 19TH ST,MILWAUKEE,WI,53233,
12/31/1986,2054500,SUPER SHAPES COLLEGE OF COSMETOLOGY,SUPER SHAPES COLLEGE OF COSMETOLOGY,1525 WEBSTER STREET,OAKLAND,CA,94612,
12/31/1986,2277100,BLOUNT MEMORIAL HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,BLOUNT MEMORIAL HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,900 NEW WALLAND HIGHWAY,MARYVILLE,TN,37801,
12/31/1986,2333702,AMERICAN BARTENDERS SCHOOL,AMERICAN BARTENDERS SCHOOL,941 S GLENDORA AVENUE,WEST COVINA,CA,91790,
12/31/1987,248204,MARYVILLE UNIVERSITY OF SAINT LOUIS,MARYVILLE UNIVERSITY,5959 PARK AVENUE,MEMPHIS,TN,38119,
12/31/1987,652700,ALBERT EINSTEIN MEDICAL CENTER SCHOOL OF NURSING,ALBERT EINSTEIN MEDICAL CENTER SCHOOL OF NURSING,YORK AND TABOR ROADS,PHILADELPHIA,PA,19141,
12/31/1987,1174600,ALBANY GENEAL HOSPITAL SCHOOL OF RADIOLOGIC TECHLGY,ALBANY GENEAL HOSPITAL SCHOOL OF RADIOLOGIC TECHLGY,1046 WEST 6TH STREET,ALBANY,OR,97321,
12/31/1987,2298100,COURSEYS SCHOOL OF COSMETOLOGY,COURSEYS SCHOOL OF COSMETOLOGY,301 FLINT RIVER ROAD,JONESBORO,GA,30236,
12/31/1987,2320400,GUIDE LINERS SCHOOL OF HAIR DESIGN,GUIDE LINERS SCHOOL OF HAIR DESIGN,2508 KENSINGTON PLACE,NASHVILLE,TN,37212,
12/31/1988,143500,BENJAMIN FRANKLIN UNIVERSITY,BENJAMIN FRANKLIN UNIVERSITY,1100 16TH ST N W,WASHINGTON,DC,20036,
12/31/1988,295900,SACRED HEART COLLEGE,SACRED HEART COLLEGE,414 N MAIN ST,BELMONT,NC,28012,
12/31/1988,448700,CRISS COLLEGE,CRISS COLLEGE,1238 EAST KATELLA AVENUE,ANAHEIM,CA,92805,
12/31/1988,734700,BAY CITY PRACTICAL NURSE CENTER,BAY CITY PRACTICAL NURSE CENTER,401 BANGOR STREET,BAY CITY,MI,48706,
12/31/1988,854200,CHARRON WILLIAMS COMMERCIAL COLLEGE PRACTICAL COLLEGE,CHARRON WILLIAMS COMMERCIAL COLLEGE PRACTICAL COLLEGE,2100 WEST FLAGLER STREET,MIAMI,FL,33135,
12/31/1988,973100,SALVADOR BEAUTY COLLEGE,SALVADOR BEAUTY COLLEGE,2607 DOUGLAS AVENUE SUITE D,DES MOINES,IA,50310,
